"","GAME_NO","DATE","STADIUM","DAY","HOST","CLIENT","CLIENT_HR","CLIENT_ERR","HOST_HR","HOST_ERR","CLIENT_SCORE","HOST_SCORE","TIME","HOST_PA","HOST_AB","HOST_H","HOST_2B","HOST_3B","HOST_TB","HOST_SO","HOST_SB","HOST_CS_1","HOST_SAC","HOST_SF","HOST_BB","HOST_IBB","HOST_HBP","HOST_GIDP","HOST_LOB","HOST_PO","HOST_A","HOST_DP","HOST_TP.1","HOST_E","HOST_CS_2","HOST_PB","CLIENT_PA","CLIENT_AB","CLIENT_H","CLIENT_2B","CLIENT_3B","CLIENT_TB","CLIENT_SO","CLIENT_SB","CLIENT_CS_1","CLIENT_SAC","CLIENT_SF","CLIENT_BB","CLIENT_IBB","CLIENT_HBP","CLIENT_GIDP","CLIENT_LOB","CLIENT_PO","CLIENT_A","CLIENT_DP","CLIENT_TP.1","CLIENT_E","CLIENT_CS_2","CLIENT_PB","HOST_BF","HOST_NP_1","HOST_ER","HOST_AO","HOST_GO","HOST_NBB","HOST_BS","HOST_S","HOST_WP","HOST_BK","HOST_PO.1","HOST_A.1","HOST_DP.1","HOST_TP","HOST_E.1","HOST_PK","CLIENT_BF","CLIENT_NP_1","CLIENT_ER","CLIENT_AO","CLIENT_GO","CLIENT_NBB","CLIENT_BS","CLIENT_S","CLIENT_WP","CLIENT_BK","CLIENT_PO.1","CLIENT_A.1","CLIENT_DP.1","CLIENT_TP","CLIENT_E.1","CLIENT_PK","氣溫(℃)","相對溼度(%)","降水量(mm)","BOX_OFFICE"
"1",1,42819,"新莊","Sat","富邦悍將","中信兄弟",2,2,1,1,5,8,175,31,28,10,1,0,14,5,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,37,33,6,1,0,13,8,0,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,37,130,5,11,8,0,0,78,0,0,0,0,0,0,0,0,39,132,6,7,11,0,0,84,0,0,0,0,0,0,0,0,16.08,88.54,0.9,12500
"2",2,42820,"新莊","Sun","富邦悍將","LAMIGO桃猿",0,1,1,0,1,2,170,24,23,5,2,0,10,7,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,32,28,8,2,0,10,4,0,1,1,0,2,0,1,0,8,0,0,0,0,0,1,0,36,159,1,10,8,0,0,100,1,0,0,0,0,0,0,0,31,100,2,8,7,0,0,68,0,0,0,0,0,0,0,0,14.65,79.42,0.52,5918
"3",3,42820,"洲際","Sun","中信兄弟","統一7-ELEVEn獅",3,1,1,0,13,4,195,35,31,5,1,0,9,8,0,0,0,0,3,0,1,1,4,0,0,0,0,0,0,0,44,34,12,2,0,23,9,1,0,1,1,7,1,0,0,6,0,0,0,0,0,0,0,47,188,13,13,4,0,0,108,0,0,0,0,0,0,0,0,35,139,4,9,9,0,0,89,0,0,0,0,0,0,0,0,14.3,84.75,0.56,9659
"4",4,42822,"桃園","Tue","LAMIGO桃猿","統一7-ELEVEn獅",0,2,1,1,0,4,179,26,22,4,2,0,9,5,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,30,30,3,1,0,4,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,30,125,0,9,11,0,0,81,0,0,0,0,0,0,0,0,34,136,3,4,12,0,0,86,1,0,0,0,0,0,0,0,19.2,67.75,0,8712
"5",5,42823,"洲際","Wed","中信兄弟","富邦悍將",1,0,3,2,5,6,206,37,35,13,3,0,25,6,1,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,32,29,10,2,0,15,6,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,42,169,5,13,5,0,0,111,1,0,0,0,0,0,0,0,37,136,6,9,8,0,0,87,1,0,0,0,0,0,0,0,22.1,58.88,0,4035
"6",6,42824,"桃園","Thu","LAMIGO桃猿","統一7-ELEVEn獅",1,0,3,0,2,10,175,38,33,11,1,1,23,8,3,0,0,1,4,0,0,1,4,0,0,0,0,0,0,0,26,25,4,2,0,9,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,33,135,2,9,11,0,0,76,0,0,0,0,0,0,0,0,38,132,10,7,8,0,0,79,0,0,0,0,0,0,0,0,19.74,89.17,0,4815
"7",7,42824,"洲際","Thu","中信兄弟","富邦悍將",2,2,2,0,8,9,166,41,37,13,3,0,22,3,1,0,0,1,3,0,0,1,8,0,0,0,0,0,0,0,25,24,6,2,0,14,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,37,108,8,6,15,0,0,71,0,0,0,0,0,0,0,0,41,154,8,9,13,0,0,92,1,0,0,0,0,0,0,0,22.62,70.62,0,3581
"8",10,42826,"桃園","Sat","LAMIGO桃猿","富邦悍將",0,2,1,1,5,9,166,36,31,9,3,0,15,4,1,1,1,0,3,1,0,2,3,0,0,0,0,0,1,0,25,25,7,2,0,9,2,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,38,125,5,10,11,0,0,79,0,0,0,0,0,0,0,0,36,120,8,7,12,0,0,70,0,0,0,0,0,0,0,0,14.32,73.29,0.54,10591
"9",11,42826,"新莊","Sat","中信兄弟","統一7-ELEVEn獅",2,1,1,2,9,1,201,33,29,2,0,0,5,12,2,0,0,0,4,0,0,1,5,0,0,0,0,0,0,0,40,33,10,1,0,17,5,1,0,0,0,6,0,1,0,9,0,0,0,0,0,0,0,45,181,8,9,13,0,0,96,2,0,0,0,0,0,0,0,33,139,1,6,9,0,0,80,1,0,0,0,0,0,0,0,15.4,66.79,0.52,8406
"10",13,42827,"新莊","Sun","中信兄弟","統一7-ELEVEn獅",1,0,1,1,11,6,229,40,37,11,2,1,18,7,1,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,40,29,8,2,0,10,3,2,0,0,1,10,0,0,0,12,0,0,0,0,0,0,0,50,183,11,9,13,0,0,100,1,0,0,0,0,0,0,0,40,150,6,8,12,0,0,93,0,0,0,0,0,0,0,0,17.28,43.33,0,9245
"11",12,42827,"桃園","Sun","LAMIGO桃猿","富邦悍將",2,1,3,0,5,6,211,37,31,7,1,0,17,7,0,0,0,0,6,0,0,1,7,0,0,0,0,0,0,1,25,24,8,0,0,14,6,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,38,169,4,7,7,2,7,93,1,0,0,0,0,0,1,2,37,154,6,10,7,0,2,92,2,0,0,0,0,0,0,0,16.25,49.92,0,11315
"12",8,42827,"桃園","Sun","LAMIGO桃猿","富邦悍將",0,0,3,0,4,5,183,31,29,8,2,0,19,3,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,28,24,9,0,0,9,4,2,0,0,1,3,0,0,0,8,0,0,0,0,0,0,0,43,151,4,14,9,0,1,99,0,0,0,0,0,0,0,0,35,138,5,10,11,0,2,90,0,0,0,0,0,0,0,0,16.25,49.92,0,5272
